IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.5,64,0.5,40000.0,0.9,11.859,14.39,7.965,2.2323
1.5,64,0.5,100000.0,0.0,10.283,13.627,6.658,5.5506
1.5,64,0.5,100000.0,0.5,10.294,13.602,6.986,5.5591
1.5,64,0.5,100000.0,0.9,10.313,13.92,6.574,5.5709
1.5,64,0.7,10000.0,0.0,14.265,17.197,10.496,0.5782
1.5,64,0.7,10000.0,0.5,14.235,16.65,10.59,0.5547
1.5,64,0.7,10000.0,0.9,14.22,16.729,10.567,0.5575
1.5,64,0.7,40000.0,0.0,11.118,14.171,7.689,2.2196
1.5,64,0.7,40000.0,0.5,11.162,14.494,7.403,2.2368
1.5,64,0.7,40000.0,0.9,11.198,14.69,7.355,2.2313
1.5,64,0.7,100000.0,0.0,10.073,13.242,6.549,5.6707
1.5,64,0.7,100000.0,0.5,9.982,13.498,6.374,5.5676
1.5,64,0.7,100000.0,0.9,9.97,13.538,6.522,5.563
2.0,1,0.05,10000.0,0.0,25.66,23.037,20.733,0.5506
2.0,1,0.05,10000.0,0.5,25.661,23.094,20.448,0.5297
2.0,1,0.05,10000.0,0.9,25.662,22.812,21.997,0.5307
2.0,1,0.05,40000.0,0.0,23.266,21.446,18.413,2.1019
2.0,1,0.05,40000.0,0.5,24.353,22.93,18.706,2.1232
2.0,1,0.05,40000.0,0.9,26.174,23.374,20.656,2.1012
2.0,1,0.05,100000.0,0.0,22.068,20.371,16.639,5.2729
2.0,1,0.05,100000.0,0.5,20.473,18.696,17.809,5.3129
2.0,1,0.05,100000.0,0.9,20.21,19.13,16.789,5.3339
2.0,1,0.1,10000.0,0.0,28.083,25.342,27.331,0.5305
2.0,1,0.1,10000.0,0.5,23.989,21.432,19.067,0.6124
2.0,1,0.1,10000.0,0.9,24.028,21.479,19.561,0.5273
2.0,1,0.1,40000.0,0.0,20.783,18.972,18.004,2.1063
2.0,1,0.1,40000.0,0.5,23.506,21.203,16.984,2.1112
